ccode,leaderid,country,year,current_leader,leader_id,current_leader_start_month,current_leader_start_year,current_leader_end_month,current_leader_end_year,current_p_name,create,partyage,persparty,v2paseatshare,v2exl_legitideol,v2exl_legitlead,v2exl_legitperf,gwf_duration,lpop,gdppc,l12gr,oilgasrentsgdp,priormil,pres,ivdem,leadertimeinpower,dem1990,iv2xps_party,ipolarization,iv2juhcind,iv2x_libdem,iv2x_partipdem,iv2xpa_illiberal,iv2xpa_popul,iv2paclient,iv2paind,iv2parelig,iv2pariglef,iv2paseat,demcollapse
2,  2/2/1989,United States,1992,George Bush,  2/2/1989,1,1989,1,1993,Republican Party,0,135,.21162806,40.5,.176,-.385,1.841,121,19.362694,.1988139,-.34635702,.53639442,0,1,.87300003,,.87199998,,,,,,,,,,,,,0
2,  2/2/1993,United States,2000,Bill Clinton,  2/2/1993,1,1993,1,2001,Democratic Party,0,165,.38634971,48.7,.176,-.454,1.841,129,19.457993,.22065592,3.4138587,.57791525,0,1,.87599999,7,.87199998,.92199999,-.88599998,2.2349999,.815,.63300002,.117,.35800001,-1.406,-2.1240001,-.49700001,-.405,59.299999,0
2,  2/2/2001,United States,2008,G.W. Bush,  2/2/2001,1,2001,1,2009,Republican Party,0,147,.34078261,40.9,.176,-.52,1.841,137,19.532846,.2317075,1.3899106,.72946274,0,1,.86900002,7,.87199998,.93000001,-.52999997,2.2349999,.80900002,.62800002,.28099999,.34799999,-1.437,-2.092,-1.199,1.7539999,50.799999,0
2,  2/2/2009,United States,2016,Barack Obama,  2/2/2009,1,2009,1,2017,Democratic Party,0,181,.31372246,44.6,.541,-.901,1.66,145,19.593386,.23962249,2.0481396,.087862283,0,1,.90899998,7,.87199998,.93599999,.43700001,2.2349999,.847,.65499997,.124,.37400001,-1.406,-2.1240001,-.509,-.87099999,59.099998,0
2,  2/2/2017,United States,2020,Donald Trump,  2/2/2017,1,2017,99,9999,Republican Party,0,163,.69632649,50.6,1.48,1.411,.858,149,19.613039,.2418889,2.0763452,,0,1,.89399999,3,.87199998,.91500002,1.14,2.582,.83999997,.64999998,.68699998,.68599999,-1.437,-1.156,-1.9349999,2.043,55.400002,0
20,20-11-1993,Canada,2003,Jean Chrétien,20-11-1993,11,1993,12,2003,Liberal Party of Canada,0,126,.21162806,57.1,-1.667,-1.376,-.638,82,17.27006,.18980016,1.3067235,1.2771816,0,0,.83999997,9,.83999997,.93099999,-1.436,1.923,.75400001,.61400002,.048,.185,-.071999997,-.079000004,1.755,.145,60,0
20,20-12-2003,Canada,2006,Paul Martin,20-12-2003,12,2003,2,2006,Liberal Party of Canada,0,136,.21162806,33.4,-1.667,-1.376,-.638,85,17.298939,.19943966,3.4789381,1.3831888,0,0,.83200002,2,.83999997,.93599999,-1.436,1.923,.75400001,.58700001,.052999999,.185,-.56599998,-.111,1.755,-.30399999,43.799999,0
20,20-2-2006,Canada,2015,Stephen Harper,20-2-2006,2,2006,11,2015,Conservative Party of Canada,0,3,.63375723,29.3,-1.447,-1.376,-.638,94,17.390743,.20879687,1.54732,.03715029,0,0,.83600003,8,.83999997,.93599999,-1.312,1.923,.75999999,.579,.11,.60500002,-.56999999,1.739,.103,1.4,40.299999,0
20,20-11-2015,Canada,2020,Justin Trudeau,20-11-2015,11,2015,99,9999,Liberal Party of Canada,0,148,.54492342,46.4,-1.119,-1.305,-.638,99,17.453234,.20520276,.71153152,,0,0,.84600002,4,.83999997,.92799997,-1.235,1.923,.74199998,.56900001,.056000002,.28999999,-.736,1.1569999,1.755,-1.357,54.400002,0
41,41-2-1991,Haiti,1995,Jean-Bertrand Aristide,41-2-1991,10,1994,2,1996,Lavalas Political Organization,0,3,.69632649,33.3,-1.42,.826,-1.497,1,15.862494,.034978673,-10.40356,0,1,1,.23,0,.23,.17299999,.88800001,-1.4630001,.109,.103,.493,.91500002,-1.169,.93699998,-1.303,-2.0050001,33.299999,0
41,41-10-1994,Haiti,1996,Jean-Bertrand Aristide,41-10-1994,10,1994,2,1996,Lavalas Political Organization,0,3,.69632649,33.3,-1.42,.826,-1.497,2,15.880766,.035370901,-2.855531,0,1,1,.352,0,.23,.15700001,.73799998,1.219,.23800001,.176,.493,.91500002,-1.169,.93699998,-1.303,-2.0050001,33.299999,0
41,41-2-1996,Haiti,1999,René Préval,41-2-1996,2,1996,2,2001,Lavalas Political Organization,0,5,.5896256,81.90000000000001,-1.42,.826,-1.497,5,15.934061,.035757095,.62652069,0,1,1,.449,2,.23,.15700001,.68300003,1.47,.28,.24699999,.54500002,.94300002,-.93800002,1.452,.96200001,-2.131,81.900002,1
41,41-5-2006,Haiti,2011,René Préval,41-5-2006,5,2006,5,2011,Inite Party,1,1,.81250143,23.2,-1.42,.978,-1.497,5,16.128078,.036750309,-1.4163387,0,0,1,.46200001,4,.23,.17900001,.82700002,-.221,.214,.22499999,.461,.50099999,-.38100001,1.137,.991,-1.479,23.200001,0
41,41-5-2011,Haiti,2016,Michel Martelly,41-5-2011,5,2011,2,2016,Haitian Tèt Kale Party,0,1,.69632649,,-1.42,.733,-1.497,10,16.198751,.037339255,.72477776,0,0,1,.44100001,4,.23,.171,.90100002,-.45500001,.26199999,.25299999,,,,,,,,0
41,41-2-2016,Haiti,2017,Jocelerme Privert,41-2-2016,2,2016,2,2017,Inite Party,0,7,.59990168,47.9,-1.42,.733,-1.497,11,16.211802,.037518047,.80662143,0,0,1,.40799999,0,.23,.17900001,1.123,-.45500001,.249,.241,.57099998,.366,-.97399998,1.096,.97899997,-.80299997,47.900002,0
41,41-2-2017,Haiti,2020,Jovenel Moïse,41-2-2017,2,2017,99,9999,Haitian Tèt Kale Party,0,5,.69632649,26.7,-1.42,.361,-1.45,14,16.249346,.036186233,-1.2625093,,0,1,.43099999,2,.23,.18700001,1.123,-.45500001,.24600001,.248,.91399997,.067000002,1.9529999,1.113,.986,1.59,26.700001,0
42,42-8-1986,Dominican Republic,1996,Joaquín Balaguer,42-8-1986,8,1986,8,1996,Social Christian Reformist Party,1,22,.81250143,41.7,-1.041,1.289,2.36,18,15.88903,.05899385,2.3106809,0,0,1,.45300001,5,.45300001,.50599998,1.114,-1.251,.25099999,.29899999,.95999998,.094999999,2.6570001,3.2609999,-1.918,1.8279999,34.200001,0
42,42-8-1996,Dominican Republic,2000,Leonel Fernández,42-8-1996,8,1996,8,2000,Dominican Liberation Party,0,23,.63375723,32.9,-1.041,1.289,2.36,22,15.952196,.064879984,4.6645966,0,0,1,.59600002,3,.45300001,.41800001,1.114,-1.251,.27599999,.34200001,.278,.44100001,-.60000002,.72899997,.48800001,-.41800001,10.8,0
42,42-8-2000,Dominican Republic,2004,Hipólito Mejía,42-8-2000,8,2000,8,2004,Dominican Revolutionary Party,0,61,.29547179,48.7,-1.041,1.289,2.36,26,16.009892,.065610752,.11933237,0,0,1,.65100002,3,.45300001,.41800001,.37400001,-.51999998,.359,.419,.30000001,.338,1.0700001,-.0040000002,.59399998,.028999999,55.700001,0
42,42-8-2004,Dominican Republic,2012,Leonel Fernández,42-8-2004,8,2004,8,2006,Dominican Liberation Party,0,31,.54492342,50.8,-1.041,1.289,2.36,34,16.111164,.077261589,4.4544983,0,0,1,.63700002,7,.45300001,.50099999,.37400001,-1.073,.338,.41600001,.33199999,.206,.35699999,-.38999999,.74400002,.57700002,27.299999,0
42,42-8-2012,Dominican Republic,2020,Danlio Medina,42-8-2012,8,2012,99,9999,Dominican Liberation Party,0,39,.45803508,55.8,-2.32,-.368,1.847,42,16.199482,.087622546,4.896471,,0,1,.59799999,7,.45300001,.486,.185,-.78200001,.32100001,.39300001,.37599999,.14300001,2.3929999,.55400002,1.001,1.04,50.799999,0
70,70-12-2000,Mexico,2006,Vincente Fox,70-12-2000,12,2000,11,2006,Nation Action Party,0,61,.31372246,41.2,-1.499,-.525,.5600000000000001,6,18.493561,.09561801,1.6821762,1.9008727,0,1,.676,5,.634,.912,-.98199999,1.115,.42899999,.39300001,.12800001,.17299999,-.093000002,-1.551,-.86199999,2.2130001,42.200001,0
70,70-12-2006,Mexico,2012,Felipe Calderón,70-12-2006,12,2006,11,2012,Nation Action Party,0,67,.26405263,22.8,-1.677,-.797,.5600000000000001,12,18.580025,.0963341,2.9221768,1.8624059,0,1,.67199999,5,.634,.912,-.52399999,1.115,.47999999,.41600001,.27900001,.112,.118,-.91900003,-.76499999,1.9960001,41.200001,0
70,70-7-2012,Mexico,2018,Enrique Peña Nieto,70-7-2012,11,2012,11,2018,Institutional Revolutionary Party,0,83,.26405263,9,-.6840000000000001,-.423,.128,18,18.653305,.099728517,1.1672386,1.215917,0,1,.648,5,.634,.91399997,-.54500002,1.052,.46000001,.405,.484,.090999998,3.0190001,.56099999,.97299999,1.023,42.400002,0
70,70-12-2018,Mexico,2020,López Obrador,70-12-2018,12,2018,99,9999,National Regeneration Movement,1,4,.89065653,37.8,-.385,.608,1.17,20,18.674801,.094484605,-.10490073,,0,1,.671,1,.634,.861,-.032000002,.86000001,.45300001,.42199999,.69999999,.97899997,1.006,2.0109999,-.278,-1.699,37.799999,0
90,90-1-1996,Guatemala,1999,Álvaro Arzú,90-1-1996,1,1996,1,2000,National Advancement Party,1,7,.55068564,32.7,-1.049,-1.36,.325,4,16.241293,.056214586,2.237282,.40637034,1,1,.44499999,3,.41299999,.419,1.595,.74900001,.248,.287,.34900001,.082999997,1.362,1.419,-.48199999,1.684,53.799999,0
